,Vicuna RAI,Shannon Index,Chinchillula sahamae,Lagidium viscacia,Lycalopex culpaeus,Vicugna vicugna,Hippocamelus antisensis,Muscisaxicola cinereus,Leopardus pajeros,Muscisaxicola griseus,Leopardus jacobitus,Geospizopsis unicolor,Asthenes humilis,Idiopsar speculifer,Muscisaxicola flavinucha,Cinclodes albiventris,Puma concolor,Muscisaxicola juninensis,Buteo polyosoma,Punomys kofordi,Chloephaga melanoptera,Attagis gayi,Phalcoboenus megalopterus,Geospizopsis plebejus,Tinamotis pentlandii,Spinus atratus,Lepus europaeus,Bubo magellanicus,Falco femoralis,Gallinago andina,Muscisaxicola frontalis,Muscisaxicola albilora,Thinocorus orbignyianus,Phyllotis osilae,Muscisaxicola maculirostris,Calomys lepidus,Animal Richness
L56,1.01,0.7466491083,2,187,9,5,2,1,2,1,1,1,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
L57B,0.28,0.9533397817,0,307,43,2,2,11,2,3,1,3,10,1,0,4,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
L58,0.42,0.669504357,0,107,16,3,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
L75,4.03,0.9961090222,0,0,14,39,3,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
L77,9.53,1.411124722,0,30,11,145,12,2,0,4,1,5,3,2,0,0,0,1,0,0,0,1,8,1,1,1,0,0,0,0,0,0,0,0,0,0,16
L78,8.93,0.7103247094,0,8,1,86,5,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
L79,3.21,0.7567826275,0,0,3,54,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4
L80,2.64,1.32245296,0,80,12,22,4,1,2,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,12
L81-1,1.39,1.236195248,0,161,19,12,2,2,2,2,0,1,2,5,0,0,0,0,20,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,14
L81-2,1.25,1.231061689,0,199,20,11,2,3,4,0,1,3,2,9,0,0,0,0,19,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
L83-1,1.11,1.296393289,0,78,13,18,6,0,2,2,2,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10
L83-2,1.25,1.172664469,0,194,15,15,7,3,6,8,1,1,2,2,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,18
L84-1,1.45,1.645891994,0,93,5,30,3,14,0,4,2,3,1,11,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,2,0,0,13
L84-2,1.43,1.246956621,0,98,6,14,0,1,2,8,0,0,1,4,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12
L85,0.36,1.12907356,4,201,13,2,0,4,3,2,1,5,5,21,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,14
L86,3.47,1.717018967,28,401,21,94,2,23,0,58,0,8,12,44,2,14,0,20,0,0,0,3,2,0,0,4,0,0,0,0,0,1,0,1,1,1,20
L87,3.03,1.084242605,0,98,19,29,1,0,0,0,0,1,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
L91,6.1,1.523432412,0,147,27,85,3,1,1,1,0,0,1,7,0,7,0,0,1,0,0,8,5,0,12,0,0,0,0,0,0,0,0,0,0,0,14
L93,6.82,0.9953746578,0,134,10,69,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8
L94,5.6,1.283814898,0,180,17,48,2,9,0,11,0,1,3,1,0,1,1,0,0,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,14